method,p,K,rep,n_full,n_sample_target,n_sample_actual,rho_srs,rho_tilde_srs,rho_cluster,rho_tilde_cluster,rho_icc,deff,time_total_s,error,dataset,tier,method_class
ThreeSigma,0.2,5,24,7200,1440,1440.0,0.9791666666666666,0.9966054824263221,0.9722222222222222,0.9961576485955373,0.8269500478633566,238.33466373678334,0.255407908000052,,annthyroid,T2,I
ThreeSigma,0.2,5,25,7200,1440,1440.0,0.9183673469387755,0.9938476565612686,0.9553264604810997,0.9979800551017691,0.8267896649885396,238.28863385171084,0.28043408098164946,,annthyroid,T2,I
ThreeSigma,0.2,5,26,7200,1440,1440.0,0.9724137931034482,0.9987733841709266,0.9583333333333334,0.9985620379555423,0.8267561746580739,238.27902212686723,0.2990096039720811,,annthyroid,T2,I
ThreeSigma,0.2,5,27,7200,1440,1440.0,0.958904109589041,0.9952841145793094,0.9826989619377162,0.9978247246997063,0.8267577910346845,238.27948602695446,0.23891362600261346,,annthyroid,T2,I
ThreeSigma,0.2,5,28,7200,1440,1440.0,0.9757785467128027,0.998189004227523,0.9310344827586207,0.9950174340357734,0.8269414652822121,238.33220053599487,0.23272845399333164,,annthyroid,T2,I
ThreeSigma,0.2,5,29,7200,1440,1440.0,0.9688581314878892,0.9953633487225078,0.9722222222222222,0.9962395226186773,0.8267959602453825,238.29044059042477,0.20250086899613962,,annthyroid,T2,I
ThreeSigma,0.05,10,0,7200,360,360.0,0.9166666666666666,0.9838711046482029,0.9166666666666666,0.989820849131491,0.9749512342577878,35.12329319902258,0.4864433339680545,,annthyroid,T2,I
ThreeSigma,0.05,10,1,7200,360,360.0,0.9444444444444444,0.9927554544732169,0.9333333333333333,0.9910836337523862,0.9752682357648016,35.13438825176806,0.36057173600420356,,annthyroid,T2,I
ThreeSigma,0.05,10,2,7200,360,360.0,0.8888888888888888,0.9604126715314456,0.9166666666666666,0.9866715873257494,0.9752298275066161,35.13304396273156,0.36060642200754955,,annthyroid,T2,I
ThreeSigma,0.05,10,3,7200,360,360.0,0.8611111111111112,0.9659512437945839,0.958904109589041,0.9963946319003546,0.975004936972257,35.12517279402899,0.37039399496279657,,annthyroid,T2,I
ThreeSigma,0.05,10,4,7200,360,360.0,1.0,0.9946775653739619,1.0,0.9892994181199735,0.9749963648786464,35.124872770752624,0.38319300999864936,,annthyroid,T2,I
ThreeSigma,0.05,10,5,7200,360,360.0,0.9166666666666666,0.9642869774365462,0.821917808219178,0.9857632489905449,0.9750447492937938,35.12656622528279,0.40727256797254086,,annthyroid,T2,I
ThreeSigma,0.05,10,6,7200,360,360.0,0.9066666666666666,0.9822756630373879,0.958904109589041,0.9977624785740447,0.9752065300935445,35.13222855327406,0.4240458109998144,,annthyroid,T2,I
ThreeSigma,0.05,10,7,7200,360,360.0,0.9866666666666667,0.9924447675238791,0.8888888888888888,0.9951657444801216,0.9752459256684634,35.133607398396215,0.42169790400657803,,annthyroid,T2,I
ThreeSigma,0.05,10,8,7200,360,360.0,0.918918918918919,0.9795820822539775,0.9722222222222222,0.9923951944791677,0.9752327967874498,35.133147887560746,0.38393331301631406,,annthyroid,T2,I
ThreeSigma,0.05,10,9,7200,360,360.0,0.9166666666666666,0.9869486356635133,0.9444444444444444,0.9907661720481142,0.975211798345525,35.132412942093374,0.32904030999634415,,annthyroid,T2,I
ThreeSigma,0.05,10,10,7200,360,360.0,0.9722222222222222,0.9892013122628673,0.9444444444444444,0.9921453234158675,0.975238593668121,35.133350778384234,0.5041879189666361,,annthyroid,T2,I
ThreeSigma,0.05,10,11,7200,360,360.0,0.7222222222222222,0.9412110362835368,0.9166666666666666,0.9963546674737674,0.9752247551858,35.132866431503,0.404778010037262,,annthyroid,T2,I
ThreeSigma,0.05,10,12,7200,360,360.0,0.9166666666666666,0.9852465732517156,0.9166666666666666,0.9934681875455437,0.9751883366186783,35.13159178165374,0.4199323360226117,,annthyroid,T2,I
ThreeSigma,0.05,10,13,7200,360,360.0,0.9722222222222222,0.9940739749995823,0.972972972972973,0.9927395499129733,0.9752401883155611,35.13340659104464,0.46132465795380995,,annthyroid,T2,I
ThreeSigma,0.05,10,14,7200,360,360.0,0.8333333333333334,0.963696431824397,0.9166666666666666,0.9909031467820317,0.9749920394652621,35.124721381284175,0.6698408130323514,,annthyroid,T2,I
ThreeSigma,0.05,10,15,7200,360,360.0,0.9722222222222222,0.9898133123315008,0.9444444444444444,0.994440141381029,0.9750623180822652,35.12718113287928,0.39324791001854464,,annthyroid,T2,I
ThreeSigma,0.05,10,16,7200,360,360.0,0.8333333333333334,0.9707458328509656,0.9444444444444444,0.9945507838576373,0.9750657113566926,35.12729989748424,0.42504701000871137,,annthyroid,T2,I
