method,p,rep,n_full,n_sample,rho_srs,rho_tilde_srs,rho_str,rho_tilde_str,rho_str_km,rho_tilde_str_km,time_total_s,error,dataset,tier,method_class
ThreeSigma,0.1,26,7200,720,0.9722222222222222,0.9917287188388993,0.9305555555555556,0.9900307496717872,0.9722222222222222,0.9969051698307677,0.7809871589997783,,annthyroid,T2,I
ThreeSigma,0.1,27,7200,720,0.9166666666666666,0.9918024797741957,0.9583333333333334,0.9930518977673142,0.9722222222222222,0.994573148486862,0.40688550705090165,,annthyroid,T2,I
ThreeSigma,0.1,28,7200,720,0.8827586206896552,0.984926577230468,0.9241379310344827,0.9958654461702834,0.9261744966442953,0.995456507538164,0.8325421669869684,,annthyroid,T2,I
ThreeSigma,0.1,29,7200,720,0.9305555555555556,0.9957042305074344,0.9041095890410958,0.989791415673535,0.958904109589041,0.9956765235020495,0.3670297560165636,,annthyroid,T2,I
ThreeSigma,0.2,0,7200,1440,0.9896193771626297,0.9964888087428991,0.9757785467128027,0.9943398029615238,0.9550173010380623,0.9960957159210602,0.796681527979672,,annthyroid,T2,I
ThreeSigma,0.2,1,7200,1440,0.9375,0.9964547840739001,0.9722222222222222,0.9973472585195409,0.9930555555555556,0.9992097960358656,0.8669356220052578,,annthyroid,T2,I
ThreeSigma,0.2,2,7200,1440,0.9375,0.9906341186126054,0.9444444444444444,0.9950950434942123,0.9517241379310345,0.9948156609586444,0.7526031929883175,,annthyroid,T2,I
ThreeSigma,0.2,3,7200,1440,0.9724137931034482,0.9951427292037481,0.9861111111111112,0.9956587703301878,0.9419795221843004,0.9963412115553703,0.8717782510211691,,annthyroid,T2,I
ThreeSigma,0.2,4,7200,1440,0.9619377162629758,0.9968881322549326,0.9550173010380623,0.9984322232998459,0.9411764705882353,0.9936913397845416,0.6604415629990399,,annthyroid,T2,I
ThreeSigma,0.2,5,7200,1440,0.9379310344827586,0.9957500701156431,0.9791666666666666,0.9977992347118154,0.9722222222222222,0.9988057319462008,0.703301545989234,,annthyroid,T2,I
ThreeSigma,0.2,6,7200,1440,0.9722222222222222,0.9987330402988465,0.9862068965517241,0.9985452398391276,0.9172413793103448,0.9942915900727127,0.4255301840021275,,annthyroid,T2,I
ThreeSigma,0.2,7,7200,1440,0.9236111111111112,0.9918311942956084,0.9619377162629758,0.9962934128545299,0.9791666666666666,0.9985589500718347,0.7946822110097855,,annthyroid,T2,I
ThreeSigma,0.2,8,7200,1440,0.9379310344827586,0.9975993231263255,0.8996539792387543,0.9884676102101123,0.9619377162629758,0.9931795031901338,0.6578154589515179,,annthyroid,T2,I
ThreeSigma,0.2,9,7200,1440,0.9204152249134948,0.9869783033847904,0.9722222222222222,0.997876687972512,0.9621993127147767,0.997007216900224,0.4089285419904627,,annthyroid,T2,I
ThreeSigma,0.2,10,7200,1440,0.9826989619377162,0.994674119884683,0.9484536082474226,0.9973833040118515,0.9586206896551724,0.9973983836704565,0.5387270289938897,,annthyroid,T2,I
