method,p,rep,n_full,n_sample,rho,rho_tilde,time_fit_s,time_score_s,time_total_s,dataset,part,n_vs_psi
MAD,0.2,20,5000,1000,0.92,0.9534001059593404,0.004950753995217383,0.0014724800130352378,0.008085670066066086,pendigits,A,
MAD,0.2,21,5000,1000,0.96,0.961934937957896,0.0053302060114219785,0.0014891850296407938,0.008465433958917856,pendigits,A,
MAD,0.2,22,5000,1000,1.0,0.961912077696401,0.01008118991740048,0.0014482669066637754,0.013138349982909858,pendigits,A,
MAD,0.2,23,5000,1000,0.96,0.9723785878764402,0.004742169985547662,0.0013823079643771052,0.007632669992744923,pendigits,A,
MAD,0.2,24,5000,1000,1.0,0.9869322879116906,0.004667220986448228,0.0014754990115761757,0.007698153960518539,pendigits,A,
MAD,0.2,25,5000,1000,1.0,0.9896454272614301,0.004600511980243027,0.0012684070970863104,0.007360682007856667,pendigits,A,
MAD,0.2,26,5000,1000,1.0,0.9889893446678032,0.004725791979581118,0.0011787869734689593,0.007524508982896805,pendigits,A,
MAD,0.2,27,5000,1000,0.99,0.978341135747802,0.004705689963884652,0.0012540780007839203,0.007530585979111493,pendigits,A,
MAD,0.2,28,5000,1000,1.0,0.9868151225442728,0.004647159017622471,0.0012478709686547518,0.007459499989636242,pendigits,A,
MAD,0.2,29,5000,1000,1.0,0.989326724240768,0.004547608084976673,0.0011447749566286802,0.007134494022466242,pendigits,A,
MAD,0.3,0,5000,1500,1.0,0.9941131306864099,0.006362924003042281,0.0017790240235626698,0.010107825975865126,pendigits,A,
MAD,0.3,1,5000,1500,1.0,0.9915490301864412,0.0054336379980668426,0.0019401459721848369,0.009025084902532399,pendigits,A,
MAD,0.3,2,5000,1500,0.9533333333333334,0.9700663139482993,0.004638478043489158,0.0019804550101980567,0.008483052020892501,pendigits,A,
MAD,0.3,3,5000,1500,1.0,0.9943068654162206,0.004732819041237235,0.001637907000258565,0.007774133002385497,pendigits,A,
MAD,0.3,4,5000,1500,1.0,0.9952932620114501,0.006730995955877006,0.0021836390951648355,0.010849643032997847,pendigits,A,
MAD,0.3,5,5000,1500,1.0,0.9887876513468116,0.004918992985039949,0.0019253919599577785,0.008635422913357615,pendigits,A,
MAD,0.3,6,5000,1500,1.0,0.9890267539373511,0.0048629819648340344,0.0025219410890713334,0.009219528059475124,pendigits,A,
MAD,0.3,7,5000,1500,1.0,0.9895715494976034,0.004720714990980923,0.0018194320145994425,0.009022534010000527,pendigits,A,
MAD,0.3,8,5000,1500,1.0,0.9914714357613051,0.005043543060310185,0.0017388020642101765,0.008480084012262523,pendigits,A,
MAD,0.3,9,5000,1500,1.0,0.9915201865720094,0.004917189944535494,0.0015323369298130274,0.008132091956213117,pendigits,A,
MAD,0.3,10,5000,1500,1.0,0.9887164091103525,0.0048281720373779535,0.0018720070365816355,0.008325227070599794,pendigits,A,
MAD,0.3,11,5000,1500,1.0,0.9956747200737516,0.004659633967094123,0.0018499350408092141,0.008192096021957695,pendigits,A,
MAD,0.3,12,5000,1500,1.0,0.9950270150225446,0.004827323951758444,0.002171628992073238,0.008975119912065566,pendigits,A,
MAD,0.3,13,5000,1500,1.0,0.9947981906954395,0.0062303009908646345,0.002034923993051052,0.010348998941481113,pendigits,A,
MAD,0.3,14,5000,1500,1.0,0.9878406409823702,0.00628665997646749,0.002033140044659376,0.010879356996156275,pendigits,A,
MAD,0.3,15,5000,1500,1.0,0.9847509804301493,0.004923605010844767,0.0015699260402470827,0.008114075986668468,pendigits,A,
MAD,0.3,16,5000,1500,1.0,0.9888499210006203,0.004355879034847021,0.0014737650053575635,0.007357705035246909,pendigits,A,
MAD,0.3,17,5000,1500,1.0,0.9894619133290372,0.004693567985668778,0.0017557190731167793,0.008113691001199186,pendigits,A,
MAD,0.3,18,5000,1500,1.0,0.9950258809035759,0.004986811080016196,0.0032192179933190346,0.01051100401673466,pendigits,A,
MAD,0.3,19,5000,1500,1.0,0.9925672623643739,0.0047075580805540085,0.0018000149866566062,0.009034785092808306,pendigits,A,
MAD,0.3,20,5000,1500,1.0,0.9852209965478032,0.004736343980766833,0.0017220079898834229,0.008181927027180791,pendigits,A,
MAD,0.3,21,5000,1500,1.0,0.9916500875384816,0.005653492058627307,0.0015588870737701654,0.008850137935951352,pendigits,A,
