method,method_class,p,rep,n_full,n_sample,rho,rho_tilde,time_fit_full_s,time_fit_sample_s,time_score_s,time_total_s,dataset
COPOD,II,0.01,8,286048,2860,0.972027972027972,0.999198862191901,6.564203985966742,0.1528598020086065,6.564203985966742,6.721256588003598,covertype
COPOD,II,0.01,9,286048,2860,0.9755244755244755,0.9990767013655054,7.204573194030672,0.09462949505541474,7.204573194030672,7.303210246027447,covertype
COPOD,II,0.05,0,286048,14302,0.9895104895104895,0.9997788996687378,6.763263885979541,0.38373882498126477,6.763263885979541,7.156269892002456,covertype
COPOD,II,0.05,1,286048,14302,0.9818181818181818,0.999798931916278,7.255627503967844,0.4996072939829901,7.255627503967844,7.768601851072162,covertype
COPOD,II,0.05,2,286048,14302,0.9888111888111888,0.99968752261251,6.270126577001065,0.18699101998936385,6.270126577001065,6.469020018936135,covertype
COPOD,II,0.05,3,286048,14302,0.9888111888111888,0.9998292826488692,6.654720618040301,0.2022184010129422,6.654720618040301,6.862146385014057,covertype
COPOD,II,0.05,4,286048,14302,0.990909090909091,0.9998480312469148,8.161102436017245,0.6109435649123043,8.161102436017245,8.784520437009633,covertype
COPOD,II,0.05,5,286048,14302,0.9874125874125874,0.9998172662537528,7.281691113952547,0.5554854860529304,7.281691113952547,7.859631940023974,covertype
COPOD,II,0.05,6,286048,14302,0.9881118881118881,0.9998420277809623,7.374835192924365,0.42914210993330926,7.374835192924365,7.823004759964533,covertype
COPOD,II,0.05,7,286048,14302,0.9825174825174825,0.9998115264819988,7.2335466699441895,0.25248224497772753,7.2335466699441895,7.4907856630161405,covertype
COPOD,II,0.05,8,286048,14302,0.9797202797202798,0.9998367813882938,7.354989784071222,0.48843037395272404,7.354989784071222,7.853662271052599,covertype
