method,p,rep,n_full,n_sample,rho,rho_tilde,time_fit_full_s,time_fit_sample_s,time_score_s,time_total_s,dataset,tier,method_class
BoxPlot,0.1,3,240,24,0.5,0.7980238751210129,0.0004502820083871484,0.0003321509575471282,7.163098780438304e-05,0.0018797949887812138,vertebral,T1,I
BoxPlot,0.1,4,240,24,0.15384615384615385,0.6595051082089965,0.00040344794979318976,0.00032600603299215436,6.352696800604463e-05,0.001773801981471479,vertebral,T1,I
BoxPlot,0.1,5,240,24,0.5,0.5410519780170145,0.00040989398257806897,0.0003278980148024857,6.332399789243937e-05,0.0023230219958350062,vertebral,T1,I
BoxPlot,0.1,6,240,24,0.5,0.7063774289747291,0.0004389999667182565,0.00034547096583992243,7.107900455594063e-05,0.0019031079718843102,vertebral,T1,I
BoxPlot,0.1,7,240,24,0.5,0.5613766893123635,0.00041693903040140867,0.0003434899845160544,6.493902765214443e-05,0.0019520689966157079,vertebral,T1,I
BoxPlot,0.1,8,240,24,0.15384615384615385,0.7223151185146153,0.00040941796032711864,0.0003570109838619828,6.582296919077635e-05,0.001865354017354548,vertebral,T1,I
BoxPlot,0.1,9,240,24,1.0,0.8828289014497336,0.0004128249711357057,0.00037422002060338855,6.855599349364638e-05,0.0018509739893488586,vertebral,T1,I
BoxPlot,0.1,10,240,24,0.15384615384615385,0.7223151185146153,0.0003927589859813452,0.0003127050003968179,5.9116980992257595e-05,0.002237995038740337,vertebral,T1,I
BoxPlot,0.1,11,240,24,0.15384615384615385,0.7223151185146153,0.0005199469742365181,0.00044942699605599046,6.717303767800331e-05,0.002047942951321602,vertebral,T1,I
BoxPlot,0.1,12,240,24,0.15384615384615385,0.3942663926154919,0.0004235779633745551,0.0003403599839657545,9.296799544245005e-05,0.001841856981627643,vertebral,T1,I
BoxPlot,0.1,13,240,24,1.0,0.8851582653058013,0.0003874799585901201,0.00033240998163819313,6.856198888272047e-05,0.0016640819958411157,vertebral,T1,I
BoxPlot,0.1,14,240,24,0.5,0.8043985903638537,0.00034899101592600346,0.00035179301630705595,5.8606965467333794e-05,0.0016938469489105046,vertebral,T1,I
BoxPlot,0.1,15,240,24,0.5,0.575612566921185,0.0005417049978859723,0.0003970089601352811,6.238801870495081e-05,0.0027818279922939837,vertebral,T1,I
BoxPlot,0.1,16,240,24,1.0,0.675303252441909,0.0005011530010960996,0.0004003060166724026,7.804500637575984e-05,0.0021545820054598153,vertebral,T1,I
BoxPlot,0.1,17,240,24,0.15384615384615385,0.6026258331144146,0.0004593780031427741,0.0003799879923462868,6.703002145513892e-05,0.001964244991540909,vertebral,T1,I
BoxPlot,0.1,18,240,24,1.0,0.8342976876265135,0.00042651797411963344,0.0003684519906528294,7.105199620127678e-05,0.001985589973628521,vertebral,T1,I
