method,k,p,kp_inv_sqrt,rep,n_full,n_sample,rho,rho_tilde,time_fit_s,time_score_s,time_total_s,dataset
LOF,5,0.2,1.0,11,214,42,0.75,0.4963533241581493,0.004547949996776879,0.0028644059784710407,0.008502606069669127,glass
LOF,5,0.2,1.0,12,214,42,0.5,0.47786968905826116,0.004533955012448132,0.0027290249709039927,0.008424574974924326,glass
LOF,5,0.2,1.0,13,214,42,0.5,0.4797049709727754,0.004035711055621505,0.0025895590661093593,0.007840589969418943,glass
LOF,5,0.2,1.0,14,214,42,0.25,0.3683442790910182,0.005238471087068319,0.0025275800144299865,0.0088494069641456,glass
LOF,5,0.2,1.0,15,214,42,0.75,0.4516050821068182,0.004784206044860184,0.0024448599433526397,0.008337675943039358,glass
LOF,5,0.2,1.0,16,214,42,0.0,0.3199189591752801,0.00501098798122257,0.003038507071323693,0.009357399889267981,glass
LOF,5,0.2,1.0,17,214,42,0.25,0.546346785770731,0.004768952028825879,0.002797688008286059,0.008693682961165905,glass
LOF,5,0.2,1.0,18,214,42,0.5,0.4808557193688025,0.004668573965318501,0.0025690559996291995,0.008587174932472408,glass
LOF,5,0.2,1.0,19,214,42,0.5,0.5442013144216012,0.004782230011187494,0.00273321894928813,0.008700299076735973,glass
LOF,5,0.2,1.0,20,214,42,0.75,0.6308708643499699,0.004576167091727257,0.0025540210772305727,0.008209647028706968,glass
LOF,5,0.2,1.0,21,214,42,0.5,0.33217126128116425,0.004801230039447546,0.002685885992832482,0.008608696050941944,glass
LOF,5,0.2,1.0,22,214,42,0.5,0.7538087520259318,0.004779941984452307,0.0026591160567477345,0.00827259209472686,glass
LOF,5,0.2,1.0,23,214,42,0.75,0.45654995915017066,0.004664032952859998,0.002797433058731258,0.008613080019131303,glass
LOF,5,0.2,1.0,24,214,42,0.5,0.41215652300304123,0.005056840949691832,0.002992482972331345,0.009214185061864555,glass
LOF,5,0.2,1.0,25,214,42,0.5,0.48978765435200067,0.004755828995257616,0.003893799032084644,0.009862440987490118,glass
LOF,5,0.2,1.0,26,214,42,0.5,0.4157886218876577,0.004891593940556049,0.002742282929830253,0.00879566790536046,glass
LOF,5,0.2,1.0,27,214,42,0.75,0.36865351380610023,0.004632615018635988,0.002959523000754416,0.008588289958424866,glass
LOF,5,0.2,1.0,28,214,42,0.0,0.4262268596629614,0.0047973510809242725,0.002916431985795498,0.008929132018238306,glass
LOF,5,0.2,1.0,29,214,42,0.5,0.3573743933938674,0.0045763259986415505,0.00269283598754555,0.008529366925358772,glass
LOF,10,0.05,1.414213562373095,0,214,12,0.0,-0.23986823316258768,0.005603504949249327,0.009200787986628711,0.016051786951720715,glass
LOF,10,0.05,1.414213562373095,1,214,12,0.0,-0.04065272722424943,0.005953800049610436,0.008169986074790359,0.015312775038182735,glass
LOF,10,0.05,1.414213562373095,2,214,12,0.0,-0.14561608249527663,0.005393560975790024,0.00951130292378366,0.015996325993910432,glass
LOF,10,0.05,1.414213562373095,3,214,12,0.0,0.06019889083624843,0.005989257013425231,0.014085429022088647,0.02120222500525415,glass
LOF,10,0.05,1.414213562373095,4,214,12,0.0,0.5908408720200878,0.00513115304056555,0.011247334070503712,0.017809438053518534,glass
LOF,10,0.05,1.414213562373095,5,214,12,0.0,0.5644153143136713,0.00562147400341928,0.006143436999991536,0.01300857204478234,glass
LOF,10,0.05,1.414213562373095,6,214,12,1.0,0.45525411194912874,0.005511714960448444,0.005002298974432051,0.011694320943206549,glass
LOF,10,0.05,1.414213562373095,7,214,12,1.0,0.5232000667841014,0.005341444979421794,0.0058264670660719275,0.012310191057622433,glass
LOF,10,0.05,1.414213562373095,8,214,12,0.0,0.17739371879672478,0.00513427599798888,0.006687497952952981,0.012962989043444395,glass
LOF,10,0.05,1.414213562373095,9,214,12,1.0,0.2961265203407574,0.005853452021256089,0.0049631730653345585,0.012106352020055056,glass
LOF,10,0.05,1.414213562373095,10,214,12,0.0,0.4397885945168802,0.005136867985129356,0.008421360049396753,0.014655723003670573,glass
LOF,10,0.05,1.414213562373095,11,214,12,0.0,0.07617955962986393,0.005207297042943537,0.00678140006493777,0.013291988056153059,glass
LOF,10,0.05,1.414213562373095,12,214,12,0.0,0.5237331142892234,0.00541859504301101,0.00925029197242111,0.01582321699243039,glass
